SubjectID,researchdate
1001,2025-06-01
1003,2025-06-26
1006,2025-06-20
1009,2025-06-23
1011,2025-06-19
1012,2025-06-01
1012,2025-06-29
1014,2025-06-15
1017,2025-06-15
1019,2025-06-06
1019,2025-06-21
1019,2025-06-24
1019,2025-06-29
1022,2025-06-23
1024,2025-06-08
1029,2025-06-02
1039,2025-06-11
1039,2025-06-13
1039,2025-06-28
1045,2025-06-03
1047,2025-06-03
1048,2025-06-07
1049,2025-06-01
1049,2025-06-21
1050,2025-06-16
1050,2025-06-24
1052,2025-06-12
1052,2025-06-19
1053,2025-06-28
1054,2025-06-13
1055,2025-06-10
1056,2025-06-08
1056,2025-06-25
1061,2025-06-29
1066,2025-06-02
1067,2025-06-23
1070,2025-06-21
1073,2025-06-13
1074,2025-06-09
1074,2025-06-21
1075,2025-06-05
1076,2025-06-04
1078,2025-06-15
1079,2025-06-27
1081,2025-06-09
1084,2025-06-02
1086,2025-06-03
1089,2025-06-20
1090,2025-06-10
1091,2025-06-02
1097,2025-06-28
1098,2025-06-26
1103,2025-06-29
1111,2025-06-11
1111,2025-06-17
1116,2025-06-21
1116,2025-06-22
1118,2025-06-11
1118,2025-06-21
1123,2025-06-09
1123,2025-06-28
1125,2025-06-06
1129,2025-06-19
1131,2025-06-10
1135,2025-06-24
1138,2025-06-01
1138,2025-06-12
1140,2025-06-09
1140,2025-06-19
1144,2025-06-10
1149,2025-06-29
1150,2025-06-18
1152,2025-06-01
1153,2025-06-21
1153,2025-06-28
1156,2025-06-14
1156,2025-06-24
1159,2025-06-20
1160,2025-06-01
1161,2025-06-09
1161,2025-06-13
1165,2025-06-17
1170,2025-06-07
1172,2025-06-06
1174,2025-06-25
1174,2025-06-28
1175,2025-06-29
1178,2025-06-15
1182,2025-06-21
1184,2025-06-09
1186,2025-06-03
1186,2025-06-24
1199,2025-06-21
1202,2025-06-07
1204,2025-06-24
1204,2025-06-25
1210,2025-06-10
1213,2025-06-17
1215,2025-06-30
1218,2025-06-23
1219,2025-06-21
1226,2025-06-01
1228,2025-06-25
1229,2025-06-10
1230,2025-06-17
1237,2025-06-28
1240,2025-06-28
1243,2025-06-05
1257,2025-06-06
1257,2025-06-25
1258,2025-06-09
1261,2025-06-11
1261,2025-06-12
1262,2025-06-18
1266,2025-06-21
1266,2025-06-22
1271,2025-06-13
1271,2025-06-21
1271,2025-06-26
1276,2025-06-05
1285,2025-06-11
1289,2025-06-21
1290,2025-06-02
1295,2025-06-04
1296,2025-06-05
1298,2025-06-09
1309,2025-06-20
1311,2025-06-13
1314,2025-06-16
1314,2025-06-21
1315,2025-06-08
1317,2025-06-19
1317,2025-06-25
1318,2025-06-17
1324,2025-06-19
1326,2025-06-06
1328,2025-06-20
1336,2025-06-20
1337,2025-06-08
1341,2025-06-02
1342,2025-06-10
1345,2025-06-10
1353,2025-06-05
1355,2025-06-28
1358,2025-06-09
1362,2025-06-11
1365,2025-06-07
1368,2025-06-19
1379,2025-06-04
1381,2025-06-27
1384,2025-06-27
1386,2025-06-10
1388,2025-06-12
1390,2025-06-11
1391,2025-06-10
1394,2025-06-02
1395,2025-06-20
1397,2025-06-13
1399,2025-06-21
1399,2025-06-25
1400,2025-06-23
1402,2025-06-15
1404,2025-06-02
1404,2025-06-10
1408,2025-06-26
1411,2025-06-24
1413,2025-06-01
1413,2025-06-26
1415,2025-06-22
1417,2025-06-06
1422,2025-06-17
1424,2025-06-03
1426,2025-06-09
1427,2025-06-12
1427,2025-06-28
1428,2025-06-19
1430,2025-06-19
1432,2025-06-22
1433,2025-06-01
1439,2025-06-28
1450,2025-06-26
1451,2025-06-25
1453,2025-06-04
1454,2025-06-13
1467,2025-06-09
1471,2025-06-09
1472,2025-06-09
1472,2025-06-21
1472,2025-06-29
1473,2025-06-03
1473,2025-06-22
1475,2025-06-25
1477,2025-06-04
1490,2025-06-23
1492,2025-06-14
1495,2025-06-21
1496,2025-06-28
1497,2025-06-27
